Name         , Code , Latitude , Longitude , Alt  , Dep , Overb , BB_Sens , SM_Sens   , Start_Date
Shibata      , SBT  , 37.9683N , 139.4501E , 130  , 33  , 30    , STS-1   , VSE-355G3 , 1997/12/13
Turusugeno   , SGN  , 35.5096N , 138.9444E , 785  , 16  , 20    , STS-1   , VSE-355G3 , 1995/03/17
Shari        , SHR  , 44.0563N , 144.9944E , 111  , 35  , 27    , STS-2.5 , VSE-355G3 , 2001/12/21
Shibisan     , SIB  , 31.9698N , 130.3486E , 655  , 15  , 10    , STS-2   , VSE-355G3 , 2002/01/25
Shimizu      , SMZ  , 34.9904N , 138.5136E , 0    ,     ,       , STS-2   , VSE-311R  , 1997/02/17
Shiramine    , SRN  , 36.2018N , 136.6303E , 473  , 35  , 40    , STS-2   , VSE-355G3 , 2002/11/14
Sotome       , STM  , 32.8870N , 129.7237E , 145  , 35  , 44    , STS-2.5 , VSE-355G3 , 2003/01/31
Tashiro      , TAS  , 31.1946N , 130.9093E , 506  , 48  , 39    , STS-2   , VSE-355G3 , 2001/01/20
Taga         , TGA  , 35.1847N , 136.3383E , 299  , 48  , 51    , STS-2   , VSE-355G3 , 2001/04/21
Tamagawa     , TGW  , 33.9734N , 132.9319E , 300  , 49  , 50    , STS-2.5 , VSE-355G3 , 2000/12/21
Takakuma     , TKA  , 31.5160N , 130.7830E , 535  ,     , 5     , STS-1   , VSE-355G2 , 1996/03/15
Takeda       , TKD  , 32.8179N , 131.3875E , 749  , 29  , 24    , STS-2.5 , VSE-355G3 , 1996/03/09
Takaoka      , TKO  , 31.8931N , 131.2321E , 88   , 9   , 8     , STS-2   , VSE-355G3 , 2001/03/03
Tomochi      , TMC  , 32.6063N , 130.9151E , 285  , 48  , 60    , STS-2   , TSM-1     , 2001/01/26
Tomari       , TMR  , 41.1016N , 141.3831E , 120  , 33  , 20    , STS-1   , VSE-355G3 , 1997/11/15
Nakagawa     , TNK  , 44.7779N , 142.0791E , 60   ,     ,       , STS-1   , VSE-311R  , 1996/09/16
Tenryu       , TNR  , 34.9111N , 137.8822E , 140  ,     ,       , STS-2   , VSE-311R  , 1996/11/08
Nishitosa    , TSA  , 33.1781N , 132.8200E , 143  , 46  , 42    , STS-2.5 , VSE-355G3 , 2000/03/23
Tsukuba      , TSK  , 36.2141N , 140.0898E , 174  , 56  , 41    , STS-1   , VSE-355G3 , 2004/06/29
Takato       , TTO  , 35.8363N , 138.1209E , 1150 , 28  , 23    , STS-1   , VSE-355G3 , 1999/04/10
Tateyama     , TYM  , 34.9745N , 139.8449E , 22   , 50  , 48    , STS-1   , VSE-355G  , 1995/03/22
Tonoyamasaki , TYS  , 39.3772N , 141.5932E , 346  , 50  , 32    , STS-2   , TSM-1     , 2002/01/11
Umaji        , UMJ  , 33.5795N , 134.0367E , 363  , 47  , 57    , STS-2.5 , VSE-355G3 , 2000/03/25
Urahoro      , URH  , 42.9298N , 143.6711E , 80   , 44  , 34    , STS-1   , VSE-355G3 , 1998/10/24
Wajima       , WJM  , 37.4021N , 137.0257E , 201  , 35  , 28    , STS-2   , VSE-355G3 , 2003/12/19
Watarai      , WTR  , 34.3739N , 136.5748E , 95   , 48  , 32    , STS-2.5 , TSM-1     , 2001/04/07
Yasaka       , YAS  , 35.6570N , 135.1605E , 232  , 47  , 45    , STS-2.5 , VSE-355G3 , 2001/03/24
Yamizo       , YMZ  , 36.9267N , 140.2445E , 520  , 35  , 40    , STS-1   , VSE-355G3 , 1998/01/30
Yonaguni     , YNG  , 24.4550N , 123.0070E , 84   , 35  , 20    , STS-2   , VSE-355G3 , 2002/03/21
Yoshida      , YSI  , 35.1942N , 132.8862E , 386  , 48  , 42    , STS-2   , VSE-355G3 , 2001/03/30
Toyota       , YTY  , 34.2835N , 131.0364E , 157  , 49  , 30    , STS-2   , VSE-355G3 , 2000/02/18
Yamasaki     , YZK  , 35.0888N , 134.4594E , 330  , 40  , 34    , STS-2.5 , VSE-355G3 , 2000/04/21
Zamami       , ZMM  , 26.2328N , 127.3038E , 22   , 20  , 16    , STS-2.5 , TSM-1     , 2001/03/10
